id;titulo;status;prioridade;data_abertura;data_fechamento;valor_orcamento;descricao
1;incentivize;ANDAMENTO;ALTA;2023-07-05T13:12:35;2023-07-05T11:35:16;15153;Montserrat Madeira
2;collaborative web violeta;ANDAMENTO;MEDIA;2023-07-05T04:07:29;2023-07-05T08:29:53;3458;Koruna
3;Organized Algodão;ABERTO;BAIXA;2023-07-05T12:22:54;2023-07-05T06:40:57;16630;Granito budgetary
4;application Down-sized;ENCERRADO;ALTA;2023-07-05T19:51:25;2023-07-05T12:32:41;20905;multi-tasking virtual infrastructures
5;one-to-one;ABERTO;MEDIA;2023-07-05T05:55:15;2023-07-05T11:22:12;11469;Suécia Berkshire groupware
6;tertiary;ANDAMENTO;BAIXA;2023-07-05T14:08:02;2023-07-05T15:20:06;90835;blockchains
7;holistic;ANDAMENTO;ALTA;2023-07-05T04:25:00;2023-07-05T17:08:28;90553;Agent
8;Principal bypassing;ENCERRADO;ALTA;2023-07-05T05:20:39;2023-07-04T23:42:56;66617;Alameda Guiné Solutions
9;Identity actuating Mato;ABERTO;MEDIA;2023-07-05T10:27:12;2023-07-05T03:20:47;94461;dot-com
10;rosa;ANDAMENTO;MEDIA;2023-07-05T19:57:38;2023-07-05T09:50:28;79888;Response Optimization SCSI
